step,phase,fr,max_fr,avg_threshold,avg_weight_pattern,avg_weight_noise
12300,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
12400,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
12500,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
12600,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
12700,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
12800,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
12900,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
13000,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
13100,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
13200,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
13300,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
13400,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
13500,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
13600,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
13700,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
13800,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
13900,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
14000,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
14100,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
14200,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
14300,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
14400,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
14500,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
14600,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
14700,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
14800,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
14900,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
15000,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
15100,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
15200,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
15300,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
15400,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
15500,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
15600,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
15700,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
15800,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
15900,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
16000,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
16100,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
16200,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
16300,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
16400,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
16500,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
16600,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
16700,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
16800,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
16900,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
17000,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
17100,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
17200,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
17300,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
17400,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
17500,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
17600,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
17700,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
17800,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
17900,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
18000,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
18100,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
18200,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
18300,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
18400,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
18500,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
18600,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
18700,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
18800,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
18900,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
19000,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
19100,BASELINE,0.0000,0.0714,0.0052,0.1512,0.2312
19200,BASELINE,0.0000,0.0714,0.0052,0.1510,0.2309
19300,BASELINE,0.0000,0.0714,0.0052,0.1509,0.2306
19400,BASELINE,0.0000,0.0714,0.0052,0.1503,0.2298
19500,BASELINE,0.0000,0.0714,0.0052,0.1498,0.2291
19600,BASELINE,0.0000,0.0714,0.0052,0.1524,0.2329
19700,BASELINE,0.0000,0.0714,0.0052,0.1520,0.2324
19800,BASELINE,0.0000,0.0714,0.0052,0.1517,0.2319
19900,BASELINE,0.0000,0.0714,0.0052,0.1514,0.2315
20000,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
20100,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
20200,TRAINING,0.0000,0.0714,0.0052,0.1509,0.2306
20300,TRAINING,0.0000,0.0714,0.0052,0.1503,0.2298
20400,TRAINING,0.0000,0.0714,0.0052,0.1498,0.2291
20500,TRAINING,0.0000,0.0714,0.0052,0.1524,0.2329
20600,TRAINING,0.0000,0.0714,0.0052,0.1520,0.2324
20700,TRAINING,0.0000,0.0714,0.0052,0.1517,0.2319
20800,TRAINING,0.0000,0.0714,0.0052,0.1514,0.2315
20900,TRAINING,0.0000,0.0714,0.0052,0.1512,0.2312
21000,TRAINING,0.0000,0.0714,0.0052,0.1510,0.2309
